show_id,show_label,band_id,band_name,performer_name_raw,performer_name_clean,role_raw,role_clean,source_line
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Breaking Tables,Trevor Hooton,Trevor Hooton,vocals,vocals,225
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Breaking Tables,Samantha Backman,Samantha Backman,guitar,guitar,226
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Breaking Tables,Simon Durham,Simon Durham,guitar,guitar,227
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Breaking Tables,Linda Durham,Linda Durham,keyboards,keyboards,228
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Breaking Tables,Julia Durham,Julia Durham,guitar,guitar,229
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Breaking Tables,Emma Durham,Emma Durham,guitar,guitar,230
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Breaking Tables,Zander Smith,Zander Smith,bass,bass,231
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-breaking-tables,Breaking Tables,Jay Blumenstein,Jay Blumenstein,drums,drums,232
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-falling-project,The Falling Project,Mario Giulione,Mario Giulione,vocals,vocals,235
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-falling-project,The Falling Project,Ryan Adessky,Ryan Adessky,guitar,guitar,236
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-falling-project,The Falling Project,Christian Buchanan,Christian Buchanan,guitar,guitar,237
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-falling-project,The Falling Project,Tristan Supino,Tristan Supino,guitar,guitar,238
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-falling-project,The Falling Project,Nicolas Martinet,Nicolas Martinet,bass,bass,239
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-falling-project,The Falling Project,Jay Blumenstein,Jay Blumenstein,drums,drums,240
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,The Daft Devils,Mario Giulione,Mario Giulione,vocals,vocals,243
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,The Daft Devils,Robert Drummond,Robert Drummond,guitar,guitar,244
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,The Daft Devils,Kenny Drummond,Kenny Drummond,guitar,guitar,245
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,The Daft Devils,Michael Fitch,Michael Fitch,guitar,guitar,246
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,The Daft Devils,Thomas Martinet,Thomas Martinet,guitar,guitar,247
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,The Daft Devils,Kenny Drummond,Kenny Drummond,guitar/bass,guitar,248
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,The Daft Devils,Kenny Drummond,Ken Drummond,guitar/bass,bass,248
lftg-5-2008,LFTG 5 (2008),lftg-5-2008-the-daft-devils,The Daft Devils,Ron Baluch,Ron Baluch,drums,drums,249
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-u2,U2,Moe Clark,Moe Clark,vocals,vocals,264
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-u2,U2,Robin Kreklewetz,Robin Kreklewetz,guitar,guitar,265
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-u2,U2,Samantha Backman,Samantha Backman,guitar,guitar,266
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-u2,U2,Mark Charbonneau,Mark Charbonneau,drums,drums,267
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-jack-johnson,Jack Johnson,Cliff Caporale,Cliff Caporale,vocals,vocals,270
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-jack-johnson,Jack Johnson,Jack Melkerson,Jack Melkerson,guitar,guitar,271
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-jack-johnson,Jack Johnson,Nicolas Martinet,Nicolas Martinet,guitar,guitar,272
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-jack-johnson,Jack Johnson,Mark Trudel,Mark Trudel,guitar,guitar,273
lftg-6-2008,LFTG 6 (2008),lftg-6-2008-jack-johnson,Jack Johnson,Nick Trudel,Nick Trudel,bass,bass,274
