band_id,show_id,show_label,band_name_raw,band_name_clean,is_solo,source_line
lftg-7-2009-the-60-s-the-british-invasion,lftg-7-2009,LFTG 7 (2009),The 60's - The British Invasion,The 60's - The British Invasion,no,343
lftg-7-2009-the-70-s-am-rock,lftg-7-2009,LFTG 7 (2009),The 70's - AM Rock,The 70's - AM Rock,no,351
lftg-7-2009-the-80-s-alternative-rock,lftg-7-2009,LFTG 7 (2009),The 80's - Alternative Rock,The 80's - Alternative Rock,no,358
lftg-7-2009-the-80-s-canadian-rock,lftg-7-2009,LFTG 7 (2009),The 80's - Canadian Rock,The 80's - Canadian Rock,no,364
lftg-7-2009-the-90-s-the-seattle-sound,lftg-7-2009,LFTG 7 (2009),The 90's - The Seattle Sound,The 90's - The Seattle Sound,no,372
lftg-7-2009-the-2000-s-modern-rock,lftg-7-2009,LFTG 7 (2009),The 2000's - Modern Rock,The 2000's - Modern Rock,no,380
lftg-8-2009-the-daft-devils,lftg-8-2009,LFTG 8 (2009),The Daft Devils,The Daft Devils,no,398
lftg-8-2009-sonic-white,lftg-8-2009,LFTG 8 (2009),Sonic White,Sonic White,no,406
lftg-8-2009-your-mother,lftg-8-2009,LFTG 8 (2009),Your Mother,Your Mother,no,413
lftg-8-2009-audio-overdrive,lftg-8-2009,LFTG 8 (2009),Audio Overdrive,Audio Overdrive,no,419
lftg-8-2009-clap-beat-good,lftg-8-2009,LFTG 8 (2009),Clap Beat Good,Clap Beat Good,no,427
lftg-8-2009-pink-radio,lftg-8-2009,LFTG 8 (2009),Pink Radio,Pink Radio,no,435
lftg-8-2009-dominic-and-the-dominators,lftg-8-2009,LFTG 8 (2009),Dominic and the Dominators,Dominic and the Dominators,no,443
lftg-9-2010-the-daft-devils,lftg-9-2010,LFTG 9 (2010),The Daft Devils,The Daft Devils,no,466
lftg-9-2010-above-the-clinic,lftg-9-2010,LFTG 9 (2010),Above The Clinic,Above The Clinic,no,474
lftg-9-2010-surf-s-up,lftg-9-2010,LFTG 9 (2010),Surf's Up!,Surf's Up!,no,481
lftg-9-2010-the-muted,lftg-9-2010,LFTG 9 (2010),The Muted,The Muted,no,486
lftg-9-2010-citizen-jane,lftg-9-2010,LFTG 9 (2010),Citizen Jane,Citizen Jane,no,493
lftg-9-2010-evolution-destruction,lftg-9-2010,LFTG 9 (2010),Evolution Destruction,Evolution Destruction,no,502
lftg-9-2010-sell-it-to-the-crowd,lftg-9-2010,LFTG 9 (2010),Sell It To The Crowd,Sell It To The Crowd,no,510
lftg-9-2010-fire-in-the-sky,lftg-9-2010,LFTG 9 (2010),Fire In the Sky,Fire In the Sky,no,519
lftg-10-2011-the-daft-devils,lftg-10-2011,LFTG 10 (2011),The Daft Devils,The Daft Devils,no,538
lftg-10-2011-the-indra-club,lftg-10-2011,LFTG 10 (2011),The Indra Club,The Indra Club,no,546
lftg-10-2011-the-brothers,lftg-10-2011,LFTG 10 (2011),The Brothers,The Brothers,no,556
lftg-10-2011-twenty-fingers,lftg-10-2011,LFTG 10 (2011),Twenty Fingers,Twenty Fingers,no,564
lftg-10-2011-through-waves,lftg-10-2011,LFTG 10 (2011),Through Waves,Through Waves,no,572
lftg-10-2011-the-muted,lftg-10-2011,LFTG 10 (2011),The Muted,The Muted,no,581
lftg-10-2011-los-tres-gatos,lftg-10-2011,LFTG 10 (2011),Los Tres Gatos,Los Tres Gatos,no,589
lftg-10-2011-this-wasted-land,lftg-10-2011,LFTG 10 (2011),This Wasted Land,This Wasted Land,no,597
lftg-11-2012-the-flu-fighters,lftg-11-2012,LFTG 11 (2012),The Flu Fighters,The Flu Fighters,no,615
lftg-11-2012-the-daft-devils,lftg-11-2012,LFTG 11 (2012),The Daft Devils,The Daft Devils,no,622
lftg-11-2012-the-infantry,lftg-11-2012,LFTG 11 (2012),The Infantry,The Infantry,no,630
lftg-11-2012-the-muted,lftg-11-2012,LFTG 11 (2012),The Muted,The Muted,no,637
lftg-11-2012-the-country-cousins,lftg-11-2012,LFTG 11 (2012),The Country Cousins,The Country Cousins,no,645
lftg-11-2012-above-the-clinic,lftg-11-2012,LFTG 11 (2012),Above The Clinic,Above The Clinic,no,652
lftg-11-2012-heavy-boots-of-lead,lftg-11-2012,LFTG 11 (2012),Heavy Boots Of Lead,Heavy Boots Of Lead,no,658
lftg-11-2012-broken-rules,lftg-11-2012,LFTG 11 (2012),Broken Rules,Broken Rules,no,665
lftg-12-2013-moderately-trained-monkeys,lftg-12-2013,LFTG 12 (2013),Moderately Trained Monkeys,Moderately Trained Monkeys,no,685
lftg-12-2013-six-strings,lftg-12-2013,LFTG 12 (2013),Six Strings,Six Strings,no,692
lftg-12-2013-silver-city,lftg-12-2013,LFTG 12 (2013),Silver City,Silver City,no,700
lftg-12-2013-the-daft-devils,lftg-12-2013,LFTG 12 (2013),The Daft Devils,The Daft Devils,no,707
lftg-12-2013-the-switch,lftg-12-2013,LFTG 12 (2013),The Switch,The Switch,no,713
lftg-12-2013-detour,lftg-12-2013,LFTG 12 (2013),Detour,Detour,no,720
lftg-12-2013-the-intruders,lftg-12-2013,LFTG 12 (2013),The Intruders,The Intruders,no,727
lftg-13-2014-dr-x,lftg-13-2014,LFTG 13 (2014),Dr. X,Dr. X,no,745
lftg-13-2014-lost-souls,lftg-13-2014,LFTG 13 (2014),Lost Souls,Lost Souls,no,753
lftg-13-2014-night-of-terror,lftg-13-2014,LFTG 13 (2014),Night Of Terror,Night Of Terror,no,760
lftg-13-2014-castle-sinister,lftg-13-2014,LFTG 13 (2014),Castle Sinister,Castle Sinister,no,768
lftg-13-2014-dark-eyes-of-london,lftg-13-2014,LFTG 13 (2014),Dark Eyes Of London,Dark Eyes Of London,no,776
lftg-13-2014-the-phantoms,lftg-13-2014,LFTG 13 (2014),The Phantoms,The Phantoms,no,783
lftg-14-2015-marie-kametani,lftg-14-2015,LFTG 14 (2015),Marie Kametani,Marie Kametani,no,805
lftg-14-2015-street-spirit,lftg-14-2015,LFTG 14 (2015),Street Spirit,Street Spirit,no,810
lftg-14-2015-near-dawn,lftg-14-2015,LFTG 14 (2015),Near Dawn,Near Dawn,no,810
lftg-14-2015-the-unknown,lftg-14-2015,LFTG 14 (2015),The Unknown,The Unknown,no,817
lftg-14-2015-tracy-island,lftg-14-2015,LFTG 14 (2015),Tracy Island,Tracy Island,no,824
lftg-14-2015-piltdown-man,lftg-14-2015,LFTG 14 (2015),Piltdown Man,Piltdown Man,no,831
lftg-14-2015-armageddon-flame,lftg-14-2015,LFTG 14 (2015),Armageddon Flame,Armageddon Flame,no,837
lftg-14-2015-carmen-and-the-devil,lftg-14-2015,LFTG 14 (2015),Carmen and The Devil,Carmen and The Devil,no,844
lftg-15-2016-one-way-ticket,lftg-15-2016,LFTG 15 (2016),One Way Ticket,One Way Ticket,no,865
lftg-15-2016-man-on-the-scene,lftg-15-2016,LFTG 15 (2016),Man On The Scene,Man On The Scene,no,872
lftg-15-2016-ripped-at-the-seams,lftg-15-2016,LFTG 15 (2016),Ripped At The Seams,Ripped At The Seams,no,881
lftg-15-2016-the-haiverers,lftg-15-2016,LFTG 15 (2016),The Haiverers,The Haiverers,no,890
lftg-15-2016-the-daft-devils,lftg-15-2016,LFTG 15 (2016),The Daft Devils,The Daft Devils,no,898
lftg-15-2016-the-zoot-suits,lftg-15-2016,LFTG 15 (2016),The Zoot Suits,The Zoot Suits,no,905
lftg-15-2016-throwing-knives,lftg-15-2016,LFTG 15 (2016),Throwing Knives,Throwing Knives,no,910
lftg-15-2016-supersonic-twist,lftg-15-2016,LFTG 15 (2016),Supersonic Twist,Supersonic Twist,no,918
lftg-16-2017-street-spirit,lftg-16-2017,LFTG 16 (2017),Street Spirit,Street Spirit,no,999
lftg-16-2017-listen-bud,lftg-16-2017,LFTG 16 (2017),Listen Bud,Listen Bud,no,1006
lftg-16-2017-psychic-spies,lftg-16-2017,LFTG 16 (2017),Psychic Spies,Psychic Spies,no,1015
lftg-16-2017-the-lawn-mowers,lftg-16-2017,LFTG 16 (2017),The Lawn Mowers,The Lawn Mowers,no,1030
lftg-16-2017-1000-stars,lftg-16-2017,LFTG 16 (2017),1000 Stars,1000 Stars,no,1039
lftg-16-2017-richard-said,lftg-16-2017,LFTG 16 (2017),Richard Said,Richard Said,no,1039
lftg-16-2017-thm,lftg-16-2017,LFTG 16 (2017),THM,THM,no,1048
lftg-17-2018-charm-city,lftg-17-2018,LFTG 17 (2018),Charm City,Charm City,no,1065
lftg-17-2018-yellow-tigers,lftg-17-2018,LFTG 17 (2018),Yellow Tigers,Yellow Tigers,no,1074
lftg-17-2018-the-mission-bell,lftg-17-2018,LFTG 17 (2018),The Mission Bell,The Mission Bell,no,1081
lftg-17-2018-echo-and-sway,lftg-17-2018,LFTG 17 (2018),Echo And Sway,Echo And Sway,no,1090
lftg-17-2018-day-glo-jones,lftg-17-2018,LFTG 17 (2018),Day-Glo Jones,Day-Glo Jones,no,1090
