show_id,show_label,band_id,song,url
lftg-16-2017,LFTG 16 (2017),lftg-16-2017-psychic-spies,Californication by Red Hot Chili Peppers,https://youtu.be/R791KhIhdq4?si=9UNRR_lr-X1pAOzc
lftg-16-2017,LFTG 15 (2016),lftg-16-2017-the-lawn-mowers,In Bloom by Nirvana,https://youtu.be/vbYUTJ50jj8?si=7dxZD7TRXchwFXl2
lftg-16-2017,LFTG 16 (2017),lftg-16-2017-richard-said,Friday I'm In Love by The Cure,https://youtu.be/MgEBXTho1XM?si=JKl5oIFTxOeOd4dg
lftg-16-2017,LFTG 15 (2016),lftg-16-2017-thm,We Got The Beat by The Go-Gos,https://youtu.be/eJG0qkieKrU?si=Vx_V8CVzm6bC0UBV
lftg-16-2017,LFTG 16 (2017),lftg-16-2017-street-spirit,My Iron Lung by Radiohead,https://youtu.be/tEC-72-NY5w?si=oV_bMeNUeXbIDrxW
lftg-17-2018,LFTG 17 (2018),lftg-17-2018-charm-city,Sixteen Saltines by Jack White,https://youtu.be/CXTabmYEclI?si=hLtltSyDQl2zOiCs
lftg-17-2018,LFTG 17 (2018),lftg-17-2018-yellow-tigers,Purple Haze by Jimi Hendrix,https://youtu.be/tkU2GQqyOmM?si=ZSimdJIqg8lETkwC
lftg-17-2018,LFTG 17 (2018),lftg-17-2018-the-mission-bell,Hotel California by The Eagles,https://youtu.be/NPbww8V6908?si=PxylvRzPxnjr2Xeu
lftg-17-2018,LFTG 17 (2018),lftg-17-2018-echo-and-sway,Long Cool Woman In A Black Dress by The Hollies,https://youtu.be/uUla950CkRM?si=5pEA-yjDfbZF9p1b
lftg-17-2018,LFTG 17 (2018),lftg-17-2018-the-clashroom,Since You've Been Gone by Kelly Clarkson,https://youtu.be/3e7u1SQwAmE?si=kTxoQm_bnA21d6_E
lftg-17-2018,LFTG 17 (2018),lftg-17-2018-day-glo-jones,"Hey Hey, My My by Oasis",https://youtu.be/jEWUVSNTTX0?si=6oRio2M8z_cKHdVh
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-confused-and-bruised,We're Not Gonna Take It by Twisted Sister,https://youtu.be/haDpiHLVp2k?si=kAannVwHYvPsnZ_6
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-crossfire-hurricane,Born In Chicago by The Paul Butterfield Blues Band,https://youtu.be/WyTX10z2-vI?si=-a3ypQYTksiXk1TG
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-pretty-liar,What's Up? by 4 Non Blondes,https://youtu.be/FOzHbqJNQf4?si=g4hCko5ue5cwUtbj
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-the-dicky-birds,Bluesy Sky by The Dicky Birds,https://youtu.be/rPN0q1fgXQs?si=sX9I2ifvcuCYsifA
lftg-18-2019,LFTG 18 (2019),lftg-18-2019-the-secret-chords,Wipe Out by The Ventures,https://youtu.be/3_Y_LsChwpg?si=oHaQvvmMWgZtKGWj
